Company,Parent Company,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Court,Civil/Criminal,Prosecution Agreement,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Major Industry of Parent,Specific Industry of Parent,Info Source,Info Source Archive URL,PACER Link,Captured Document,EPA/OSHA More Info Link,Notes,Penalty_Year_Date_Time
the ensign group,ensign group,6000,0,6000,2012,2012-02-27,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,332428275,,,Colorado,LITTLETON,5822 S. LOWELL WAY,80123,623110.0,623110: Nursing Care Facilities,USA,California,publicly traded,healthcare services,skilled nursing facilities,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=242827.015,,2012-01-01
"a & b homecare solutions, llc",encompass health,13843,0,13843,2008,2008-03-09,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1503743,,,Connecticut,New Haven,,06511,621610.0,621610: Home Health Care Services,USA,Alabama,publicly traded,healthcare services,healthcare services,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2008-01-01
loyola university health system,trinity health,5600,0,5600,2012,2012-01-23,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,,civil,,331900357,,,Illinois,MAYWOOD,2160 1ST AVENUE,60153,622110.0,622110: General Medical and Surgical Hospitals,USA,Michigan,non-profit,healthcare services,hospitals,"Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php",,,,https://www.osha.gov/pls/imis/establishment.inspection_detail?id=190035.015,,2012-01-01
"abttc, inc.",aac holdings,35071,0,35071,2012,2012-07-24,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1595285,,,California,Murrieta,,92562,623220.0,623220: Residential Mental Health and Substance Abuse Facilities,USA,Tennessee,publicly traded,healthcare services,substance abuse services,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2012-01-01
"abttc, inc.",aac holdings,34692,0,34692,2012,2012-07-24,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1670571,,,California,San Diego,,92102,623220.0,623220: Residential Mental Health and Substance Abuse Facilities,USA,Tennessee,publicly traded,healthcare services,substance abuse services,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2012-01-01
"abttc, inc.",aac holdings,9448,0,9448,2012,2012-07-24,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1663197,,,California,Murrieta,,92562,623220.0,623220: Residential Mental Health and Substance Abuse Facilities,USA,Tennessee,publicly traded,healthcare services,substance abuse services,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2012-01-01
acadia abilene llc,acadia healthcare,9420,0,9420,2010,2010-12-15,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1536765,,,Texas,Abilene,,79602,9660.0,,USA,Tennessee,publicly traded,healthcare services,healthcare services,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2010-01-01
"acadia healthcare company, llc",acadia healthcare,27970,0,27970,2010,2010-12-15,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1608184,,,Georgia,Atlanta,,30339,62139.0,62139: Offices of All Other Health Practitioners,USA,Tennessee,publicly traded,healthcare services,healthcare services,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2010-01-01
"acadia healthcare, llc.",acadia healthcare,6305,0,6305,2010,2010-12-15,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1606740,,,Georgia,Riverdale,,30274,622210.0,622210: Psychiatric and Substance Abuse Hospitals,USA,Tennessee,publicly traded,healthcare services,healthcare services,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2010-01-01
accredo health group,express scripts,60000000,0,60000000,2015,2015-05-01,kickbacks and bribery,fraud,The United States Attorney for the Southern District of New York and the U.S. Department of Health and Human Services announced a $60 million settlement of a civil fraud lawsuit against Accredo Health Group concerning an alleged kickback scheme with Novartis Pharmaceuticals.,federal,agency action,U.S. Attorney-Southern District of New York,,civil,,,,,,,,,,,USA,Missouri,publicly traded,healthcare services,pharmacy services,https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-60-million-civil-fraud-settlement-accredo-health-group,screenshot_192324.png,,,,,2015-01-01
"addus health care, inc.",addus homecare,146432,0,146432,2006,2006-07-15,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1446092,,,Illinois,Palatine,,60067,621610.0,621610: Home Health Care Services,USA,Illinois,publicly traded,healthcare services,personal care services,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2006-01-01
"addus healthcare, inc.",addus homecare,10001,0,10001,2016,2016-07-22,benefit plan administrator violation,,Deficient Filer,federal,agency action,Employee Benefits Security Administration,,civil,,,,,Illinois,,,,,,USA,Illinois,publicly traded,healthcare services,personal care services,Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php,,,,,"Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. ",2016-01-01
"adminastar federal, inc.",anthem,6000000,0,6000000,2005,2005-09-20,False Claims Act,,"AdminaStar Federal, Inc. agreed to pay the United States $6 million to resolve allegations that the company interfered with Medicare evaluations and overcharged the federal healthcare program.",federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Indiana,publicly traded,healthcare services,insurance; managed care,https://www.justice.gov/archive/opa/pr/2005/September/05_civ_492.html,,,,,,2005-01-01
