Company,Parent Company,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Court,Civil/Criminal,Prosecution Agreement,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Major Industry of Parent,Specific Industry of Parent,Info Source,Info Source Archive URL,PACER Link,Captured Document,EPA/OSHA More Info Link,Notes,Penalty_Year_Date_Time
life care center of centerville,life care centers of america,5102,0,5102,2017,2017-05-24,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,CENTERVILLE,112 OLD DICKSON RD,37033.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
"nhc healthcare, farragut",national healthcare corp.,5481,0,5481,2017,2017-06-20,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,KNOXVILLE,120 CAVETT HILL LANE,37922.0,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
ssm health st mary's care center,ssm health,6500,0,6500,2017,2017-04-03,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Wisconsin,MADISON,3401 MAPLE GROVE DR,53719.0,,,USA,Missouri,non-profit,healthcare services,hospitals,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
"nhc healthcare, hendersonville",national healthcare corp.,6500,0,6500,2017,2017-06-28,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,HENDERSONVILLE,370 OLD SHACKLE ISLAND RD,37075.0,,,USA,Tennessee,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
"lakewood healthcare, inc",ensign group,6500,0,6500,2017,2017-09-15,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Arkansas,HOT SPRINGS,260 LAKEPARK DRIVE,71901.0,,,USA,California,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of carrollton,life care centers of america,7543,0,7543,2017,2017-05-15,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Missouri,CARROLLTON,300 LIFE CARE LANE,64633.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
signature healthcare of madison,signature healthcare,7543,0,7543,2017,2017-06-23,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Tennessee,MADISON,431 LARKIN SPRING RD,37115.0,,,USA,Kentucky,privately held,healthcare services,rehabilitation and skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
life care center of coeur d'alene,life care centers of america,8125,0,8125,2017,2017-04-20,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,Idaho,COEUR D ALENE,500 WEST AQUA AVENUE,83815.0,,,USA,Tennessee,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
kindred nursing and transitional care-pacific coas,kindred healthcare,8125,0,8125,2017,2017-07-06,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,California,SALINAS,720 EAST ROMIE LANE,93901.0,,,USA,Kentucky,publicly traded,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
pruitthealth-union pointe,pruitthealth,8128,0,8128,2017,2017-09-09,nursing home violation,,,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,North Carolina,MONROE,3510 WEST HIGHWAY 74,28110.0,,,USA,Georgia,privately held,healthcare services,skilled nursing facilities,https://data.medicare.gov/Nursing-Home-Compare/Penalties/g6vv-u9sr/data,,,,,,2017-01-01
