Company,Parent Company,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Court,Civil/Criminal,Prosecution Agreement,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Major Industry of Parent,Specific Industry of Parent,Info Source,Info Source Archive URL,PACER Link,Captured Document,EPA/OSHA More Info Link,Notes,Penalty_Year_Date_Time
"addus healthcare, inc.",addus homecare,10001,0,10001,2016,2016-07-22,benefit plan administrator violation,,Deficient Filer,federal,agency action,Employee Benefits Security Administration,,civil,,,,,Illinois,,,,,,USA,Illinois,publicly traded,healthcare services,personal care services,Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php,,,,,"Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. ",2016-01-01
ahmc central health llc,ahmc healthcare,153850,0,153850,2016,2016-02-24,Medicare Parts C and D Enforcement Action,,improper contract administration,federal,agency action,Centers for Medicare & Medicaid Services,,civil,,,,,,,,,,,USA,California,privately held,healthcare services,hospitals,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/Downloads/AHMC_CMP_-2_24_2016.pdf,194249.pdf,,,,,2016-01-01
air methods corporation,air methods corp.,100000,0,100000,2016,2016-05-12,aviation safety violation,,AIRCRAFT ALTR,federal,agency action,Federal Aviation Administration,,civil,,2011NM030105,,,,,,,,,USA,Colorado,privately held,healthcare services,air medical emergency transport,https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/,,,,,,2016-01-01
air methods corporation,air methods corp.,65000,0,65000,2016,2016-05-12,aviation safety violation,,MAINTENANCE,federal,agency action,Federal Aviation Administration,,civil,,2015NM030007,,,,,,,,,USA,Colorado,privately held,healthcare services,air medical emergency transport,https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/,,,,,,2016-01-01
air methods corporation,air methods corp.,10000,0,10000,2016,2016-05-12,aviation safety violation,,MAINTENANCE,federal,agency action,Federal Aviation Administration,,civil,,2015NM030016,,,,,,,,,USA,Colorado,privately held,healthcare services,air medical emergency transport,https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/,,,,,,2016-01-01
almost family inc,almost family inc.,17767,0,17767,2016,2016-05-19,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,,civil,,1782030,,,Kentucky,Louisville,,40218,621610.0,621610: Home Health Care Services,USA,Kentucky,publicly traded,healthcare services,home health services,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php",,,,,"Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2016-01-01
"amedisys, inc.",amedisys,4677642,0,4677642,2016,2016-05-06,HHS civil monetary penalties,,"After it disclosed conduct to the Office of Inspector General pursuant to its Corporate Integrity Agreement, Amedisys, Inc. agreed to pay $4,677,642 for allegedly violating the Civil Monetary Penalties Law by filing claims to Medicare for home health services that were not medically necessary and did not meet the requirements for payment.",federal,agency action,Health & Human Services Department Office of Inspector General,,civil,,,,,,,,,,,USA,Louisiana,publicly traded,healthcare services,home health services,https://oig.hhs.gov/fraud/enforcement/cmp/reportable-events.asp,screenshot_194234.png,,,,,2016-01-01
american medical response of connecticut,envision healthcare holdings,109750,0,109750,2016,2016-09-07,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,,civil,,34-CA-013051,,,Connecticut,West Hartford,,,,,USA,Colorado,publicly traded,healthcare services,healthcare services,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.,,,,,,2016-01-01
aurora health care,aurora health care,1250000,0,1250000,2016,2016-02-17,False Claims Act,,The Department of Justice announced that it  reached settlements with 51 hospitals in 15 states for more than $23 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,Wisconsin,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/fifty-one-hospitals-pay-united-states-more-23-million-resolve-false-claims-act-allegations,screenshot_193606.png,,,,,2016-01-01
dignity health f/k/a catholic healthcare west,dignity health,5900000,0,5900000,2016,2016-02-17,False Claims Act,,The Department of Justice announced that it  reached settlements with 51 hospitals in 15 states for more than $23 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.,federal,agency action,Justice Department Civil Division,,civil,,,,,,,,,,,USA,California,non-profit,healthcare services,hospitals,https://www.justice.gov/opa/pr/fifty-one-hospitals-pay-united-states-more-23-million-resolve-false-claims-act-allegations,screenshot_193606.png,,,,,2016-01-01
