"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Court","Civil/Criminal","Prosecution Agreement","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent","Info Source","Info Source Archive URL","PACER Link","Captured Document","EPA/OSHA More Info Link","Notes"
"THE ENSIGN GROUP","Ensign Group","$6,000","$0","$6,000","2012","20120227","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","332428275","","","Colorado","LITTLETON","5822 S. LOWELL WAY","80123","623110","623110: Nursing Care Facilities","USA","California","publicly traded","healthcare services","skilled nursing facilities","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=242827.015",""
"A & B Homecare Solutions, LLC","Encompass Health","$13,843","$0","$13,843","2008","20080309","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1503743","","","Connecticut","New Haven","","06511","621610","621610: Home Health Care Services","USA","Alabama","publicly traded","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"LOYOLA UNIVERSITY HEALTH SYSTEM","Trinity Health","$5,600","$0","$5,600","2012","20120123","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","","civil","","331900357","","","Illinois","MAYWOOD","2160 1ST AVENUE","60153","622110","622110: General Medical and Surgical Hospitals","USA","Michigan","non-profit","healthcare services","hospitals","Extracted from a download of OSHA's Inspection Database updated by OSHA on 1/19/2018, available at https://enforcedata.dol.gov/views/data_catalogs.php","","","","https://www.osha.gov/pls/imis/establishment.inspection_detail?id=190035.015",""
"ABTTC, Inc.","AAC Holdings","$35,071","$0","$35,071","2012","20120724","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1595285","","","California","Murrieta","","92562","623220","623220: Residential Mental Health and Substance Abuse Facilities","USA","Tennessee","publicly traded","healthcare services","substance abuse services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ABTTC, Inc.","AAC Holdings","$34,692","$0","$34,692","2012","20120724","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1670571","","","California","San Diego","","92102","623220","623220: Residential Mental Health and Substance Abuse Facilities","USA","Tennessee","publicly traded","healthcare services","substance abuse services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ABTTC, Inc.","AAC Holdings","$9,448","$0","$9,448","2012","20120724","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1663197","","","California","Murrieta","","92562","623220","623220: Residential Mental Health and Substance Abuse Facilities","USA","Tennessee","publicly traded","healthcare services","substance abuse services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Acadia Abilene LLC","Acadia Healthcare","$9,420","$0","$9,420","2010","20101215","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1536765","","","Texas","Abilene","","79602","9660","","USA","Tennessee","publicly traded","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Acadia Healthcare Company, LLC","Acadia Healthcare","$27,970","$0","$27,970","2010","20101215","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1608184","","","Georgia","Atlanta","","30339","62139","62139: Offices of All Other Health Practitioners","USA","Tennessee","publicly traded","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Acadia Healthcare, LLC.","Acadia Healthcare","$6,305","$0","$6,305","2010","20101215","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","","civil","","1606740","","","Georgia","Riverdale","","30274","622210","622210: Psychiatric and Substance Abuse Hospitals","USA","Tennessee","publicly traded","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","","","","","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Accredo Health Group","Express Scripts","$60,000,000","$0","$60,000,000","2015","20150501","kickbacks and bribery","fraud","The United States Attorney for the Southern District of New York and the U.S. Department of Health and Human Services announced a $60 million settlement of a civil fraud lawsuit against Accredo Health Group concerning an alleged kickback scheme with Novartis Pharmaceuticals.","federal","agency action","U.S. Attorney-Southern District of New York","","civil","","","","","","","","","","","USA","Missouri","publicly traded","healthcare services","pharmacy services","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-60-million-civil-fraud-settlement-accredo-health-group","screenshot_192324.png","","","",""
