
"    Somalia ","(12)"," Tiger"," APV"," (2017)"," 2017"," (12)"," Possibly second-hand; probably aid"
"  Bangladesh ","5"," CSOC-50m"," Patrol craft"," 2011"," 2013"," (5)"," "
"   ","2"," LPC-1"," Corvette"," 2014"," 2017"," 2"," Bangladeshi designation Durjoy"
"  Egypt ","(400)"," Type-59-1 130mm"," Towed gun"," (1985)"," 1986-1995"," (400)"," Type-59-1M version; possibly illegally copied and produced in Egypt"
"   ","80"," K-8 Karakorum-8"," Trainer/combat ac"," 1999"," 2001-2005"," (80)"," $345 m deal; K-8E version; 70 assembled from kits in Egypt"
"   ","18"," ASN-209"," UAV"," (2010)"," 2012-2014"," (18)"," "
"  Iran ","(250)"," Type-63 107mm"," Towed MRL"," (1985)"," 1986-1990"," (250)"," "
"   ","(200)"," M-7/CSS-8"," SSM"," 1989"," 1990-1994"," (200)"," Iranian designation Tondar-69; probably incl assembly/production in Iran"
"   ","380"," C-802/CSS-N-8"," Anti-ship missile"," 1992"," 1994-2012"," (380)"," Incl for Hudong (Thondor), new-produced and modernized Combattante-2 (Kaman) FAC and coast defence systems; possibly incl air-launched version; Iranian designation Tondar or Noor; status since 2010 uncertain (due to UN arms embargo)"
"   ","(1100)"," QW-1 Vanguard"," Portable SAM"," (1993)"," 1996-2006"," (1100)"," Iranian designation Misagh-1"
"   ","(150)"," Type-86"," APC"," (1996)"," 1997-2011"," (150)"," Iranian designation Boraq; incl IFV, anti-tank, mortar-carrier and command versions"
"   ","(260)"," FL-6"," Anti-ship missile"," (1998)"," 1999-2015"," (260)"," Developed or copied by China from Italian Sea Killer (Marte-2) anti-ship missile supplied by Iran to China; Iranian designation Fajr-e Darya; incl for SH-3D helicopters; status since 2010 uncertain (due to UN arms embargo)"
"   ","(150)"," TL-10/FL-8"," Anti-ship missile"," (2002)"," 2004-2015"," (150)"," TL-10A and possibly TL-10B version; status since 2010 uncertain (due to UN arms embargo)"
"   ","(50)"," C-704"," Anti-ship missile"," (2003)"," 2010-2011"," (50)"," Developed for Iran; Iranian designation Nasr-1"
"   ","(50)"," C-801"," Anti-ship missile"," (2004)"," 2006-2015"," (50)"," Iranian designation Kosar and/or Sagheb; incl submarine-launched version; status since 2010 uncertain (due to UN arms embargo)"
"   ","650"," QW-11"," Portable SAM"," (2005)"," 2006-2015"," (650)"," Iranian designation Misagh-2; status since 2010 uncertain (due to UN arms embargo)"
"  Malaysia ","4"," LMS-68"," OPV"," 2017"," "," "," Incl 2 produced in Malaysia; delivery planned 2019-2021"
"  Myanmar ","(2)"," Anawrahta"," Corvette"," (1997)"," 2001-2003"," 2"," "
"   ","(1)"," Aung Zeya"," Frigate"," 2006"," 2011"," 1"," "
"  North Korea ","(4000)"," Type-63 107mm"," Towed MRL"," (1963)"," 1964-1990"," (4000)"," "
"   ","(500)"," YW-531/Type-63"," APC"," (1972)"," 1972-1992"," (500)"," North Korean designation VTT-323"
"   ","23"," Type-033/Romeo"," Type-6633; Project-633"," (1973)"," 1973-1995"," (23)"," 16 assembled/produced in North Korea"
"   ","(1000)"," HN-5A"," Portable SAM"," (1981)"," 1985-1994"," (1000)"," Incl HN-5 version"
"  Pakistan ","6"," K-8 Karakorum-8"," Trainer/combat ac"," 1987"," 1994"," 6"," Incl some components produced in Pakistan and some assembled in Pakistan"
"   ","(1000)"," HN-5A"," Portable SAM"," (1988)"," 1989-1998"," (1000)"," Pakistani designation Anza-1"
"   ","(55)"," M-11/CSS-7"," SSM"," (1988)"," 1992-1994"," (55)"," Incl assembly in Pakistan"
   . . Red Arrow-8 Anti-tank missile 1989 1990-2017 (23850) Pakistani designation Baktar Shikan
"   ","(268)"," Type-85-IIM"," Tank"," 1990"," 1992-1996"," 268"," Type-85-IIAP version; incl assembly from kits and production in Pakistan"
   . . QW-1 Vanguard Portable SAM (1993) 1994-2017 (2150) Pakistani designation Anza-2
"   ","(65)"," W-653/Type-653"," ARV"," (1994)"," 1995-2000"," (65)"," Incl assembly/production in Pakistan; Pakistani designation ARV-W653"
"   ","(530)"," Type-90-2M/MBT-2000"," Tank"," (1998)"," 2001-2017"," (325)"," Al-Khalid and Al-Khalid-I (or Al-Khalid-1) versions"
"   ","(50)"," JF-17 Thunder/FC-1"," FGA aircraft"," 1999"," 2007-2013"," (50)"," JF-17 Block-1 version; developed for Pakistan; incl production of components and assembly in Pakistan; incl 8 mainly for testing and first 42 production version ordered 2009 for $800 m"
"   ","6"," K-8 Karakorum-8"," Trainer/combat ac"," (2001)"," 2003"," 6"," Incl production of components and assembly in Pakistan"
"   ","4"," F-22"," Frigate"," 2005"," 2009-2013"," 4"," $500-750 m deal; F-22P version; incl 1 produced in Pakistan; Pakistani designation Zulfiquar"
"   ","27"," K-8 Karakorum-8"," Trainer/combat ac"," 2005"," 2007-2010"," 27"," K-8P version"
"   ","(48)"," A-100 300mm"," Self-propelled MRL"," (2008)"," 2011-2013"," (48)"," "
"   ","(20)"," CH-3"," UAV/UCAV"," (2009)"," 2013-2016"," (20)"," "
"   ","2"," Azmat"," Corvette"," 2010"," 2012-2014"," 2"," Incl 1 produced in Pakistan"
"   ","(50)"," JF-17 Thunder/FC-1"," FGA aircraft"," (2011)"," 2015-2017"," (48)"," JF-17 Block-2 version"
"   ","(50)"," JF-17 Thunder/FC-1"," FGA aircraft"," (2012)"," "," "," JF-17 Block-3 version; delivery possibly from 2019"
"   ","2"," Azmat"," Corvette"," (2013)"," 2017"," 1"," Delivery planned 2017-218"
"   ","2"," CSTC-1500"," OPV"," 2015"," "," "," Designation uncertain (reported as '1500t patrol vessel' from Chinese company CSTC); for coast guard; incl 1 produced in Pakistan; Pakistani designation Hingol; delivery probably planned 2018-2019/2020"
"   ","4"," CSTC-600"," OPV"," 2015"," 2016-2017"," (3)"," Designation uncertain (reported as '600t patrol vessel' from Chinese company CSTC); for coast guard; incl 2 produced in Pakistan; Pakistani designation Hingol; delivery 2016-2019/2020"
"   ","8"," Type-041/Yuan"," Submarine"," (2015)"," "," "," Probably S-20 version; incl 4 produced in Pakistan; delivery 2022-2028"
"  Romania ","6"," Type-025/Huchuan"," FAC"," (1987)"," 1988-1990"," (6)"," "
"  Sudan ","(460)"," Type-63 107mm"," Towed MRL"," (2000)"," 2001-2014"," (460)"," Incl production in Sudan as TAKA-1"
"  Thailand ","2"," Naresuan"," Frigate"," 1989"," 1994-1995"," 2"," Weapons and electronics fitted in Thailand"
"   ","(18)"," WS-1 302mm"," Self-propelled MRL"," (2008)"," 2011-2017"," (11)"," Thai designation DTi-1"
"  Turkey ","(24)"," WS-1 302mm"," Self-propelled MRL"," (1997)"," 1998-2000"," (24)"," No. may be up to 144; 5 (and rockets) assembled/produced in Turkey"
"   ","(200)"," B-611"," SSM"," (1999)"," 2002-2012"," (200)"," Turkish designation Yildirim or Project-J or J-600T; possibly incl B-611M version"
"  Albania ","(1)"," HY-2 CDS"," Coast defence system"," (1994)"," 1995"," (1)"," "
"   ","(15)"," HY-2/SY-1A/CSS-N-2"," Anti-ship missile"," 1994"," 1995"," (15)"," "
"  Algeria ","3"," Type-363"," Air search radar"," (1983)"," 1988-2002"," 3"," For 3 Djebel Chenoua FAC produced in Algeria"
"   ","1"," Mourafek"," Support ship"," (1988)"," 1990"," 1"," For coast guard"
"   ","7"," Chui-E"," Patrol craft"," 1989"," 1990-1991"," 7"," Algerian designation El Mouderrib; for Coast Guard"
"   ","(25)"," C-802/CSS-N-8"," Anti-ship missile"," (1999)"," 2000-2002"," (25)"," For Djebel Chenoua FAC"
"   ","3"," Type-347G"," Fire control radar"," (2000)"," 2000-2002"," (3)"," For 3 Djebel Chenoua FAC produced in Algeria"
"   ","1"," Daxin"," Training ship"," (2004)"," 2006"," 1"," Algerian designation Soummam"
"   ","(18)"," WA-021/Type-88 155mm"," Towed gun"," (2007)"," 2010"," (18)"," "
"   ","3"," C-28A"," Frigate"," (2012)"," 2015-2016"," 3"," C-28A version"
"   ","(50)"," C-802/CSS-N-8"," Anti-ship missile"," (2012)"," 2015-2016"," (50)"," For C-28A frigates"
"   ","(50)"," FM-90"," SAM"," (2012)"," 2015-2016"," (50)"," For C-28A frigates"
"   ","(50)"," PLZ-45 155mm"," Self-propelled gun"," (2013)"," 2014"," (50)"," "
"   ","(18)"," SR-5"," Self-propelled MRL"," (2016)"," 2017"," (18)"," "
"  Angola ","(45)"," BF6"," Diesel engine"," 2013"," 2015"," (45)"," For 45 Casspir APC from South Africa; designation uncertain (reported as 'Chinese' engine)"
"   ","(10)"," WMA-301 Assaulter"," AFSV"," (2015)"," 2016"," (10)"," "
"   ","(5)"," WZ-551"," APC"," (2015)"," 2016"," (5)"," "
"  Argentina ","4"," WZ-551"," APC"," 2008"," 2010"," 4"," $2.6 m deal; WZ-551B1 version; for Argentinian UN forces"
"  Armenia ","(4)"," WM-80 273mm"," Self-propelled MRL"," (1999)"," 1999"," 4"," "
"  Bahamas ","2"," Tiger"," APV"," (2016)"," 2017"," 2"," Part of $1.2 m aid"
"  Bahrain ","(4)"," SR-5"," Self-propelled MRL"," (2015)"," 2016"," (4)"," "
"  Bangladesh ","(12)"," A-5C/Fantan"," FGA aircraft"," (1989)"," 1989-1990"," (12)"," No. could be 20"
"   ","20"," F-7M Airguard"," Fighter aircraft"," (1989)"," 1989-1990"," 20"," F-7MB version; incl 4 FT-7B"
"   ","(250)"," PL-2"," SRAAM"," (1989)"," 1989-1990"," (250)"," For A-5C and F-7M combat aircraft"
"   ","(50)"," Type-85"," APC"," (1989)"," 1989-1990"," (50)"," "
"   ","(50)"," HN-5A"," Portable SAM"," (1990)"," 1991-1992"," (50)"," "
"   ","42"," M-30 122mm"," Towed gun"," (1991)"," 1992"," 42"," Designation uncertain; possibly Type-54-1 version"
"   ","(50)"," Type-69"," Tank"," (1991)"," 1991"," (50)"," Type-69-I and Type-69-II version"
"   ","(10)"," HY-1/SY-1/CSS-N-1"," Anti-ship missile"," (1992)"," 1992"," (10)"," For Huangfen (Durdharsha) FAC"
"   ","(5)"," HY-2/SY-1A/CSS-N-2"," Anti-ship missile"," (1992)"," 1992"," (5)"," For Hegu (Durbar) FAC; SY-1A (CSS-N-2) version"
"   ","1"," Type-021/Huangfen"," FAC"," 1992"," 1992"," 1"," Bangladeshi designation Durdharsha"
