Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Albania,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,26
Algeria,45,80,,,,5,,,,,11,12,15,,,,61,,,,18,,,,68,247,499,17,1076
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,15
Argentina,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
Armenia,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4
Bangladesh,96,61,87,5,20,9,7,,,33,11,2,,,7,1,184,66,10,,13,81,151,480,204,456,257,204,2443
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3
Benin,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,0
Bolivia,,,12,3,,2,,,,,,,,5,,,,,,,,21,,,20,,4,,66
Bosnia-Herzegovina,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,12
Burundi,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5
Cambodia,,,,,5,,,,,,,,,,,,,56,,4,,,15,39,,,,,119
Cameroon,,,,,,,,,,,,,,,,,,,,,,,9,118,85,,,,212
Chad,,,,,,,,,,,,,,,,,,4,2,,16,,,39,,,,,61
Congo,,,,,,,,,,,,,,,,,1,0,,1,,,,,,,,,2
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,8,1,5,,14
Ecuador,,,,,4,,,,,,,,,,,,0,,,,8,,,,,,,,12
Egypt,28,28,28,36,28,28,,,,,,18,67,88,88,21,,35,35,35,35,,1,1,1,,,9,608
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,34
Eritrea,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10
Ethiopia,,,,,,,,,,19,,,,,,,,,,,,,2,50,2,,,,72
Gabon,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,,6
Ghana,,,,,,,,,,,,2,,,1,,,14,,11,2,56,,22,,13,,,122
Guyana,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3
Indonesia,,,,,,,,,,,,,,,,,10,3,3,,2,8,64,73,34,41,45,30,313
Iran,87,96,103,304,274,58,320,54,70,64,69,80,81,84,80,43,54,47,47,47,62,52,31,9,9,9,,,2236
Iraq,,,,,,,,,,,,,,,20,,,,,,,,,,,17,,,37
Jordan,,,,,,,,,,,,,,,,8,,,,,2,,,,1,,8,,19
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6
Kenya,,,,,,,,15,,,15,,,,,,,10,,,13,,,,7,10,10,,79
Khmer Rouge (Cambodia)*,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Kuwait,,,,,,,,,,,30,15,20,21,,,,,,,,,,,,,,,86
Laos,8,,,,,,,,,,,,,,,,,,7,,,,15,15,,1,,1,47
Malaysia,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5
Mali,,,,,,,,,,,7,,,,,,,,,,,,,,,,,5,12
Mauritania,,,,,,3,3,8,,,,,17,7,,,,,,,,,,,,,34,,71
Mexico,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,6
Morocco,,,,,,,,,,,,,,,,,,,,,221,34,34,,,,,,289
Myanmar,217,182,14,323,93,176,118,197,156,116,3,50,9,57,74,23,10,2,10,17,5,277,254,190,65,185,190,70,3081
Namibia,,,,,,,,5,,,,14,,,,,66,,66,5,,,52,9,,,,,216
Nepal,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2
Niger,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
Nigeria,,,,,,,,,,,,,,,,,,,,,156,,,,57,22,36,,271
North Korea,103,145,11,55,5,50,,,,,,,,,,,,,,,,,,,,,,,369
Oman,,,,,,,,,,,,,3,15,,,,,,,,,,,,,,,18
Pakistan,325,283,210,697,346,234,115,93,92,73,69,299,286,267,77,78,98,144,250,758,747,578,583,719,413,597,673,514,9617
Peru,,8,8,,,,,,,,,,,,,,,,,1,1,,,,,13,,,30
