"Country","Number_Ordered","Weapon","Weapon_Type","Date_Ordered","Date_Delivered","Number_Delivered","Comments"
"Afghanistan","188.0","M-113","APC","2004.0","2005","188","Second-hand; aid; M-113A2 version; incl 15 M-577A2 CP version"
"Afghanistan","800.0","HMMWV Up-Armoured","APV","2006.0","2007-2008","800","Second-hand; aid"
"Afghanistan","4735.0","HMMWV Up-Armoured","APV","2008.0","2008-2011","4735","$760 m deal; aid; M-1151 and M-1152 versions"
"Afghanistan","4002.0","HMMWV Up-Armoured","APV","2010.0","2011-2013","4002","Part of $1 b deal; M-1152A1B2 version; incl for police"
"Afghanistan","237.0","HMMWV Up-Armoured","APV","2010.0","2012","237","$45 m deal; incl 137 M-1152 and 100 M-1151 version"
"Afghanistan","2566.0","HMMWV Up-Armoured","APV","2010.0","2011-2012","2566","Second-hand; M-1114 version"
"Afghanistan","41.0","ASV-150/M-1117","APC","2011.0","2011-2012","41",""
"Afghanistan","240.0","ASV-150/M-1117","APC","2011.0","2012-2013","240","$257 m deal; MSFV version; incl command, ARV, AEV, ambulance and mortar carrier versions"
"Afghanistan","6.0","Cessna-180 Skywagon","Light aircraft","2011.0","2011","6","Part of $88 m deal; Cessna-182T version; for training"
"Afghanistan","26.0","Cessna-208 Caravan","Light transport ac","2011.0","2011-2012","26","Part of $88 m deal; Cessna-208B version"
"Afghanistan","744.0","HMMWV Up-Armoured","APV","2011.0","2012","744",""
"Afghanistan","6.0","MD-500E","Light helicopter","2011.0","2011","6","$17-20 m aid; MD-530F version; incl for training (but armed 2015)"
"Afghanistan","71.0","ASV-150/M-1117","APC","2012.0","2014","71","$79 m deal; MSFV version"
"Afghanistan","136.0","ASV-150/M-1117","APC","2012.0","2013-2014","136","MSFV version"
"Afghanistan","4.0","C-130H Hercules","Transport aircraft","2012.0","2013-2015","4","Second-hand; aid"
"Afghanistan","135.0","ASV-150/M-1117","APC","2013.0","2014-2015","135","$113 m deal; MSFV version"
"Afghanistan","222.0","MaxxPro","APC","2014.0","2015","222","Second-hand; incl 20 recovery vehicle version"
"Afghanistan","12.0","MD-500E","Light helicopter","2014.0","2015","12","Armed MD-530F version"
"Afghanistan","55.0","ASV-150/M-1117","APC","2015.0","2015","55",""
"Afghanistan","12.0","MD-500E","Light helicopter","2015.0","2016","12","Armed MD-530F version"
"Afghanistan","65.0","ScanEagle","UAV","2015.0","2016-2017","45","$71 m deal; delivery 2016-2018"
"Afghanistan","1673.0","HMMWV Up-Armoured","APV","2016.0","2016-2017","1673","$356 m deal; incl 1259 M-1151A1B1 and 414 M-1151A1B2 version"
